Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Type,year,avg_payment,avg_charge,total_srvcs,total_benes,charge_to_payment_ratio
VA,Internal Medicine,2022,67.97,204.41,3523187.5,1781480,3.01
VA,Internal Medicine,2023,68.84,210.19,3495032.0,1712466,3.05
VI,Cardiology,2022,57.26,98.54,7401.0,5132,1.72
VI,Cardiology,2023,71.22,123.95,7599.0,4926,1.74
VI,Family Practice,2022,46.57,138.89,7398.0,3698,2.98
VI,Family Practice,2023,54.18,173.44,8484.0,4667,3.2
VI,Internal Medicine,2022,59.99,164.62,18929.0,9312,2.74
VI,Internal Medicine,2023,72.2,280.37,13650.0,7683,3.88
VT,Cardiology,2022,61.89,308.43,65722.0,52842,4.98
VT,Cardiology,2023,60.05,330.96,60145.0,47804,5.51
VT,Family Practice,2022,47.17,116.91,147915.2,103308,2.48
VT,Family Practice,2023,52.04,132.53,131016.0,91891,2.55
VT,Internal Medicine,2022,67.5,258.0,116992.0,79129,3.82
VT,Internal Medicine,2023,68.43,273.21,107609.0,75049,3.99
WA,Cardiology,2022,69.37,258.31,632060.0,479815,3.72
WA,Cardiology,2023,69.54,268.17,627158.0,479687,3.86
WA,Family Practice,2022,55.45,165.11,1322999.5,864831,2.98
WA,Family Practice,2023,60.03,184.48,1238027.0,818028,3.07
WA,Internal Medicine,2022,69.03,229.51,1516976.0,801545,3.32
WA,Internal Medicine,2023,72.23,246.25,1426580.0,751251,3.41
WI,Cardiology,2022,60.13,613.07,578771.0,392638,10.2
WI,Cardiology,2023,61.02,647.5,576153.5,385772,10.61
WI,Family Practice,2022,52.61,213.6,1382315.2,955650,4.06
WI,Family Practice,2023,58.64,236.81,1251772.4,854025,4.04
WI,Internal Medicine,2022,62.78,297.59,1419639.0,879557,4.74
WI,Internal Medicine,2023,68.05,322.82,1234355.0,768260,4.74
WV,Cardiology,2022,68.58,266.83,236943.0,159258,3.89
WV,Cardiology,2023,64.79,272.24,189147.0,133708,4.2
WV,Family Practice,2022,54.61,162.89,640032.0,365959,2.98
WV,Family Practice,2023,58.3,178.11,609788.0,322731,3.06
WV,Internal Medicine,2022,70.92,245.36,426398.5,239554,3.46
WV,Internal Medicine,2023,74.59,261.31,392249.4,214476,3.5
WY,Cardiology,2022,94.22,602.27,40906.0,28769,6.39
WY,Cardiology,2023,91.85,683.86,43115.0,30273,7.45
WY,Family Practice,2022,51.75,180.62,239135.0,115095,3.49
WY,Family Practice,2023,52.3,173.91,238794.0,107065,3.33
WY,Internal Medicine,2022,58.06,215.34,116764.0,66011,3.71
WY,Internal Medicine,2023,61.59,216.87,122596.0,65917,3.52
XX,Family Practice,2022,52.38,163.96,2786.0,1488,3.13
XX,Family Practice,2023,58.36,185.97,2873.0,1551,3.19
XX,Internal Medicine,2022,87.97,186.47,4277.0,2675,2.12
XX,Internal Medicine,2023,87.1,161.33,5614.0,4564,1.85
ZZ,Cardiology,2022,48.24,339.73,954.0,770,7.04
ZZ,Family Practice,2022,72.6,353.84,1581.0,1330,4.87
ZZ,Family Practice,2023,76.19,308.76,1625.0,1217,4.05
ZZ,Internal Medicine,2022,90.1,300.31,2164.0,1489,3.33
ZZ,Internal Medicine,2023,87.92,477.92,1446.0,1033,5.44
